Title,Address,Phone,Website,Emails
Kathmandu Grill Restaurant,"चाक्सीवारी मार्ग, काठमाडौँ 44600",014700321,https://www.kathmandugrill.com,null
Bagaan Thakali Kitchen,"Post Box No 1437, त्रिदेवी सडक, काठमाडौँ 44600",014528949,https://www.facebook.com,null
Little Buddha Restaurant,"नरसिंह चोक मार्ग, काठमाडौँ 44600",014548909,https://www.instagram.com,null
Bawarchi Nepal,"टंक प्रसाद घुम्ती सडक, काठमाडौँ 44600",015363720,,null
Chez Caroline,"Tanka Prasad Ghumti Sadak, 44600",015363070,https://www.chezcarolinenepal.com,null
Chick´n Falafal,"P876+V9V, पर्यटन मार्ग, काठमाडौँ 44600",014422496,,null
पन्जावी रेस्टुरेन्ट,"राम साह पथ, काठमाडौँ 44600",015369889,,null
वालनट बिस्ट्रो,"Do-Cha Marga, काठमाडौँ 44600",014510484,https://www.walnutbistronepal.com,null
Aburi,"P87F+4M6, मनकामना मार्ग, काठमाडौँ 44600",,,null
Nepalaya Rooftop Restaurant,"Inside Hotel Nepalaya, Thamel, Kwabahal-17, काठमाडौँ 44600",015901321,https://www.hotelnepalaya.com,null
ज्यास्पर रेस्टुरेन्ट,"P876, Thabahi Road, काठमाडौँ 44600",9803050739,https://www.jasperrestaurantthamel.com,null
तेस्रो आँखा भोजनालय,"JP Rd, काठमाडौँ 44600",015360289,https://thirdeye.com.np,null
Vinoliva Restaurant & Bar,"Narayanhiti Palace Museum North Gate Rd, काठमाडौँ 44600",9826860810,https://vinolivarestaurant.com.np,null
Thamel Doner Kebab,"Near kathmandu grand hotel, चाक्सीवारी मार्ग, काठमाडौँ 44600",9841411215,,null
Copacabana Kathmandu Restaurant,"Gairidhara Sadak, काठमाडौँ 44600",9810786445,https://www.facebook.com,null
नेपाली चुलो भोजनालय,"Lazimpat , Behind Hotel Gangjong, काठमाडौँ 44600",014002009,https://nepalichulo.com.np,null
बार्दली भोजनालय तथा सभा,"Bijulibazar, काठमाडौँ 44600",9851312815,https://www.bardalirestro.com,null
Kathmandu Steak House Restaurant,"चाक्सीवारी मार्ग, काठमाडौँ 44600",9849234718,https://www.kathmandusteakhouse.com,null
The Best Kathmandu Kitchen,"Thamel-26,Bhagawatisthan, काठमाडौँ 44600",014513355,https://www.tkathmandukitchen.com,null
French Creperie,"Chibahal Marg 26, काठमाडौँ 44600",9843339062,https://www.petitfute.com,null
नेवारी भान्छा,"126 Jaycees Marg, काठमाडौँ 44600",9810169601,https://newarikitchen.com.np,null
Green Villy Restaurant - Thamel Kathmandu,काठमाडौँ 44600,9812885154,https://www.facebook.com,null
यान्गलिंग तिब्बती रेस्टुरेन्ट,"Kaldhara Marg, काठमाडौँ 44600",015357408,https://www.facebook.com,null
Paleti Bhanchha Ghar,"JP Rd, काठमाडौँ 44600",015312911,,null
Bagaichā - Best Fine Dining Restaurant in Kathmandu,"थिरबम सडक Ward No. 4, काठमाडौँ 44600",014541246,https://www.thebagaicha.com,null
ब्रिक्स क्याफे,काठमाडौँ 44600,015181156,,null
रातो भाले रेष्टुरा,"M8QG+QGC, काठमाडौँ 44600",015706037,,null
Krishnarpan Restaurant,"Battisputali Rd, काठमाडौँ 44600",014479488,https://www.dwarikas.com,null
वन र प्लेट,"Mandala Street, काठमाडौँ 44600",014701161,,null
