Title,Address,Phone,Website,Emails
Upland,"345 Park Ave S, New York, NY 10010, संयुक्त राज्य",12126861006,https://uplandnyc.com,upland.marketing@starr-restaurants.com;upland.events@starr-restaurant.com;upland.info@starr-restaurants.com;upland.events@starr-restaurants.com;upland.info@starr-restaurant.com;upland.marketing@starr-restaurant.com;upland.press@starr-restaurants.com;upland.press@starr-restaurant.com
Boucherie Union Square,"225 Park Ave S, New York, NY 10003, संयुक्त राज्य",12123530200,https://boucherieus.com,null
53,"53 W 53rd St, New York, NY 10019, संयुक्त राज्य",16465353994,https://53-nyc.com,53@foxglovecommunications.comnewslettersign;reserve@ba53ment.com;53@foxglovecommunications.com;jobs@53-nyc.com;info@53-nyc.com.media;info@53-nyc.com
LOS TACOS No.1,"229 W 43rd St, New York, NY 10036, संयुक्त राज्य",,https://lostacos1.com,null
ROBERT,"2 Columbus Cir, New York, NY 10019, संयुक्त राज्य",12122997730,https://robertnyc.com,info@arkrestaurants.com
The Modern,"9 W 53rd St, New York, NY 10019, संयुक्त राज्य",12123331220,https://themodernnyc.com,null
Atera,"77 Worth St, New York, NY 10013, संयुक्त राज्य",12122261444,https://ateranyc.com,null
Gramercy Tavern,"42 E 20th St, New York, NY 10003, संयुक्त राज्य",12124770777,https://gramercytavern.com,null
Craft New York,"43 E 19th St, New York, NY 10003, संयुक्त राज्य",12127800880,https://craftrestaurant.com,null
Salinas Restaurant,"136 9th Ave, New York, NY 10011, संयुक्त राज्य",12127761990,https://salinasnyc.com,null
Le Bernardin,"155 W 51st St, New York, NY 10019, संयुक्त राज्य",12125541515,https://le-bernardin.com,null
Hearth,"403 E 12th St, New York, NY 10009, संयुक्त राज्य",16466021300,https://restauranthearth.com,null
Forgione,"30 Hudson St, New York, NY 10013, संयुक्त राज्य",12129419401,https://marcforgione.com,null
Essex Restaurant,"124 Rivington St, New York, NY 10002, संयुक्त राज्य",12125339616,https://essexnyc.com,533-9616eat@essexnyc.comhoursmonday;info@essexnyc.com
Per Se,"10 Columbus Cir, New York, NY 10019, संयुक्त राज्य",12128239335,https://thomaskeller.com,null
Petite Boucherie,"First Floor, 14 Christopher St, New York, NY 10014, संयुक्त राज्य",16467564145,https://boucherieus.com,null
Schilling Restaurant & Bar,"109 Washington St, New York, NY 10006, संयुक्त राज्य",12124061200,https://schillingnyc.com,406-1200eat@schillingnyc.com109;eat@schillingnyc.com;406-1200eat@schillingnyc.com
TAO Downtown Restaurant,"92 9th Ave, New York, NY 10011, संयुक्त राज्य",12128882724,https://taogroup.com,null
Supper,"156 E 2nd St, New York, NY 10009, संयुक्त राज्य",12124777600,https://supperrestaurant.com,null
Le Coucou,"138 Lafayette St, New York, NY 10013, संयुक्त राज्य",12122714252,https://lecoucou.com,lecoucou.press@starr-restaurants.com;lecoucou.reservations@starr-restaurant.com;lecoucou.press@starr-restaurant.com;lecoucou.marketing@starr-restaurant.com;lecoucou.info@starr-restaurants.com;lecoucou.marketing@starr-restaurants.com;lecoucou.events@starr-restaurant.com;lecoucou.info@starr-restaurant.com;lecoucou.events@starr-restaurants.com
The Otter,"58 Thompson St, New York, NY 10012, संयुक्त राज्य",19296515330,https://theotter.nyc,sales@soho.themanner.com;otter@soho.themanner.comor;otter@soho.themanner.com
Wolfnights - The Gourmet Wrap,"99 Rivington St, New York, NY 10002, संयुक्त राज्य",18774976403,https://wolfnights.com,null
Raoul's,"180 Prince St, New York, NY 10012, संयुक्त राज्य",12129663518,https://raouls.com,info@raouls.comjob;jobs@raouls.comaccounts;info@raouls.com;alice@raouls.com;jobs@raouls.com;alice@raouls.comexecutive;david@raouls.com
Benoit New York,"60 W 55th St, New York, NY 10019, संयुक्त राज्य",16469437373,https://benoitny.com,null
La Masseria NY,"235 W 48th St, New York, NY 10036, संयुक्त राज्य",12125822111,https://lamasserianyc.com,info@lamasserianyc.com;582-2111info@lamasserianyc.com
Laut,"15 E 17th St, New York, NY 10003, संयुक्त राज्य",12122068989,https://lautnyc.com,info@lautnyc.com
Estela,"47 E Houston St 1st floor, New York, NY 10012, संयुक्त राज्य",12122197693,https://estelanyc.com,info@estelanyc.com.for;sarah@wickedgm.com;david@gruberstrategies.com;events@mattos-hospitality.com;info@estelanyc.com;events@mattos-hospitality.com.for
Michael's New York,"24 W 55th St, New York, NY 10019, संयुक्त राज्य",12127670555,https://michaelsnewyork.com,null
Le Zie,"172 7th Ave between 20th, W 21st St, New York, NY 10011, संयुक्त राज्य",12122068686,https://lezie.com,null
The Smith,"1150 Broadway, New York, NY 10001, संयुक्त राज्य",12126854500,https://thesmithrestaurant.com,null
Trinity Place,"115 Broadway, New York, NY 10006, संयुक्त राज्य",12129640939,https://trinityplacenyc.com,contact@trinityplacenyc.com;-964-0939contact@trinityplacenyc.compowered;-964-0939contact@trinityplacenyc.com
Manhatta,"28 Liberty St 60th floor, New York, NY 10005, संयुक्त राज्य",12122305788,https://manhattarestaurant.com,null
Paola's,"1361 Lexington Ave, New York, NY 10128, संयुक्त राज्य",12127941890,https://paolasnyc.com,null
Kochi,"652 10th Ave, New York, NY 10036, संयुक्त राज्य",16464787308,https://kochinyc.com,info@kochinyc.com
Frenchette,"241 W Broadway, New York, NY 10013, संयुक्त राज्य",12123343883,https://frenchettenyc.com,null
Frevo,"48 W 8th St, New York, NY 10011, संयुक्त राज्य",16464550804,https://frevonyc.com,null
Lindens,"2 Renwick St, New York, NY 10013, संयुक्त राज्य",19295957706,https://lindensnyc.com,hello@lindensnyc.com
Daniel,"60 E 65th St, New York, NY 10065, संयुक्त राज्य",12122880033,https://danielnyc.com,288-0033danielinquiry@danielnyc.comgeneral;danielinquiry@danielnyc.com
Hawksmoor NYC,"109 E 22nd St, New York, NY 10010, संयुक्त राज्य",12127771840,https://hawksmoornyc.com,null
FARIDA - Finest World Dishes,"32 Cedar St, New York, NY 10005, संयुक्त राज्य",16466503272,https://farida.us,null
Catch NYC,"21 9th Ave, New York, NY 10014, संयुक्त राज्य",12123925978,https://catchrestaurants.com,null
The Milling Room,"446 Columbus Ave, New York, NY 10024, संयुक्त राज्य",12125950380,https://the-milling-room.com,moussa@themillingroom.com;595-0380info@themillingroom.com;info@themillingroom.com
Victory Sweet Shop/Victory Garden Cafe,"21-69 Steinway St, Astoria, NY 11105, संयुक्त राज्य",17182742087,https://victorysweetshop.com,null
Buena Vista Restaurant & Bar,"536 9th Ave, New York, NY 10018, संयुक्त राज्य",12123885040,https://buenavistahellskitchen.com,info@buenavistany.com
Market Table,"54 Carmine St, New York, NY 10014, संयुक्त राज्य",12122552100,https://markettablenyc.com,hello@markettablenyc.com;reservations@markettablenyc.com
Barbuto,"113 Horatio St, New York, NY 10014, संयुक्त राज्य",12129249700,https://barbutonyc.com,null
Joseph's Restaurant,"3 Hanover Square, New York, NY 10004, संयुक्त राज्य",12127471300,https://josephsnyc.com,null
The Palm – New York,"250 W 50th St, New York, NY 10019, संयुक्त राज्य",12123337256,https://thepalm.com,null
MOE EATS NYC,"120 W 49th St, New York, NY 10020, संयुक्त राज्य",16465476759,,null
Brooklyn Chop House Steakhouse Downtown NYC,"150 Nassau St, New York, NY 10038, संयुक्त राज्य",12126191200,https://brooklynchophouse.com,null
Buddakan,"75 9th Ave, New York, NY 10011, संयुक्त राज्य",12129896699,https://buddakannyc.com,buddakannyc.events@starr-restaurants.com;buddakannyc.press@starr-restaurant.com;buddakannyc.info@starr-restaurant.com;buddakannyc.info@starr-restaurants.com;buddakannyc.press@starr-restaurants.com;buddakannyc.marketing@starr-restaurant.com;buddakannyc.marketing@starr-restaurants.com
Il Mulino - Downtown (West 3rd),"86 W 3rd St, New York, NY 10012, संयुक्त राज्य",12126733783,https://ilmulino.com,info@ilmulino.com;events@ilmulino.com;giftcard@ilmulino.com
Pennsylvania 6,"132 W 31st St, New York, NY 10001, संयुक्त राज्य",12127273666,https://pennsylvania6nyc.com,null
Buvette,"42 Grove St, New York, NY 10014, संयुक्त राज्य",12122553590,https://ilovebuvette.com,null
Crown Shy,"70 Pine St Ground Floor, New York, NY 10005, संयुक्त राज्य",12125171932,https://crownshy.nyc,null
Guantanamera,"939 8th Ave, New York, NY 10019, संयुक्त राज्य",12122625354,https://guantanamerany.com,null
