Title,Address,Phone,Website,Emails
Kathmandu Grill Restaurant,"चाक्सीवारी मार्ग, काठमाडौँ 44600",014700321,https://kathmandugrill.com,reservation@kathmandugrill.com
Bagaan Thakali Kitchen,"Post Box No 1437, त्रिदेवी सडक, काठमाडौँ 44600",014528949,https://facebook.com,null
ज्यास्पर रेस्टुरेन्ट,"P876, Thabahi Road, काठमाडौँ 44600",9803050739,https://jasperrestaurantthamel.com,jasper.cafe2022@gmail.com
Little Buddha Restaurant,"नरसिंह चोक मार्ग, काठमाडौँ 44600",014548909,https://instagram.com,null
Bawarchi Nepal,"टंक प्रसाद घुम्ती सडक, काठमाडौँ 44600",015363720,,null
Chez Caroline,"Tanka Prasad Ghumti Sadak, 44600",015363070,https://chezcarolinenepal.com,caroline@mail.com.np;chezcarolinenepal@gmail.com;chezcarolinenepal@gmail.cominstagram
Chick´n Falafal,"P876+V9V, पर्यटन मार्ग, काठमाडौँ 44600",014422496,,null
Mazaaj Restaurant & Sheesha Lounge,काठमाडौँ 44600,9801009959,,null
त्रिसरा,"Lazimpat Rd, काठमाडौँ 44600",014510200,https://trisaranepal.com,null
पन्जावी रेस्टुरेन्ट,"राम साह पथ, काठमाडौँ 44600",015369889,,null
वालनट बिस्ट्रो,"Do-Cha Marga, काठमाडौँ 44600",014510484,https://walnutbistronepal.com,walnutbistro19@gmail.com;walnutbistro19@gmail.comt
Aburi,"P87F+4M6, मनकामना मार्ग, काठमाडौँ 44600",,,null
Nepalaya Rooftop Restaurant,"Inside Hotel Nepalaya, Thamel, Kwabahal-17, काठमाडौँ 44600",015901321,https://hotelnepalaya.com,hnepalaya@gmail.com;info@hotelnepalaya.com;rimalkamal@gmail.com
तेस्रो आँखा भोजनालय,"JP Rd, काठमाडौँ 44600",015360289,https://thirdeye.com.np,info@thirdeye.com.np
Vinoliva Restaurant & Bar,"Narayanhiti Palace Museum North Gate Rd, काठमाडौँ 44600",9826860810,https://vinolivarestaurant.com.np,null
Thamel Doner Kebab,"Near kathmandu grand hotel, चाक्सीवारी मार्ग, काठमाडौँ 44600",9841411215,,null
Copacabana Kathmandu Restaurant,"Gairidhara Sadak, काठमाडौँ 44600",9810786445,https://facebook.com,null
नेपाली चुलो भोजनालय,"Lazimpat , Behind Hotel Gangjong, काठमाडौँ 44600",014002009,https://nepalichulo.com.np,info@nepalichulo.com.np
बार्दली भोजनालय तथा सभा,"Bijulibazar, काठमाडौँ 44600",9851312815,https://bardalirestro.com,null
Kathmandu Steak House Restaurant,"चाक्सीवारी मार्ग, काठमाडौँ 44600",9849234718,https://kathmandusteakhouse.com,kathmanudusteakhouse@gmail.com
The Best Kathmandu Kitchen,"Thamel-26,Bhagawatisthan, काठमाडौँ 44600",014513355,https://tkathmandukitchen.com,atinfo@tkathmandukitchen.com;info@tkathmandukitchen.com
French Creperie,"Chibahal Marg 26, काठमाडौँ 44600",9843339062,https://petitfute.com,null
नेवारी भान्छा,"126 Jaycees Marg, काठमाडौँ 44600",9810169601,https://newarikitchen.com.np,enjoy@newarikitchen.com.np
Green Villy Restaurant - Thamel Kathmandu,काठमाडौँ 44600,9812885154,https://facebook.com,null
यान्गलिंग तिब्बती रेस्टुरेन्ट,"Kaldhara Marg, काठमाडौँ 44600",015357408,https://facebook.com,null
Paleti Bhanchha Ghar,"JP Rd, काठमाडौँ 44600",015312911,,null
Bagaichā - Best Fine Dining Restaurant in Kathmandu,"थिरबम सडक Ward No. 4, काठमाडौँ 44600",014541246,https://thebagaicha.com,codstudioindia@gmail.com
ब्रिक्स क्याफे,काठमाडौँ 44600,015181156,,null
रातो भाले रेष्टुरा,"M8QG+QGC, काठमाडौँ 44600",015706037,,null
Krishnarpan Restaurant,"Battisputali Rd, काठमाडौँ 44600",014479488,https://dwarikas.com,null
वन र प्लेट,"Mandala Street, काठमाडौँ 44600",014701161,,null
Mahotsav Restaurant,"Lal Durbar, दरवार मार्ग, काठमाडौँ 44600",014530170,https://mahotsavrestaurant.com,null
